P_NAME,P_HABITABLE,P_ESI,P_MASS_y,P_RADIUS_y,P_TEMP_EQUIL_y,P_PERIOD_y,P_TEXTURE
Qatar-5 b,0,-1.428383299,1373.0256,12.408,1295.0379,2.8792319,Gas Giant
WASP-10 b,0,-1.376884157,1001.12,12.106,906.2241,3.0927616,Gas Giant
55 Cnc c,0,-0.550703797,54.4738,8.51,466.84897,44.3989,Gas Giant
HD 219134 f,0,1.03336483,7.3,1.31,477.12207,22.717,Terrestrial
K2-132 b,0,-1.507602525,155.7367,14.572,1440.6756,9.1751,Gas Giant
WASP-76 b,0,-1.64279337,292.4036,20.512,2084.9361,1.809886,Gas Giant
KELT-15 b,0,-1.621052228,416.3573,19.504,1503.5158,3.32944,Gas Giant
K2-290 c,0,-1.108653864,246.00042,11.276,587.42143,48.36685,Gas Giant
WASP-90 b,0,-1.598793462,200.2329,18.271,1544.2996,3.916243,Gas Giant
K2-284 b,0,-0.074296583,8.15,2.78,650.69818,4.795069,Unknown
LP 714-47 b,0,-0.570363408,30.8,4.7,652.737,4.052037,Neptunian
TrES-4 b,0,-1.59637808,247.9074,18.046,1715.9196,3.55395,Gas Giant
NGTS-2 b,0,-1.589337836,235.1942,17.878,1459.4171,4.511164,Gas Giant
WASP-73 b,0,-1.548135365,908.9938,15.917,1714.7275,4.08722,Gas Giant
WASP-81 b,0,-1.547580566,231.69807,16.018,1484.2397,2.7164762,Gas Giant
Kepler-105 b,0,-0.788779205,5.1,4.81,1385.7672,5.4122,Unknown
WASP-139 b,0,-1.188761175,37.18611,8.967,838.7912,5.924262,Neptunian
HATS-41 b,0,-1.519197936,3082.951,14.908,1522.0714,4.193649,Gas Giant
Qatar-1 b,0,-1.444013618,411.27202,12.812,1296.3893,1.4200242,Gas Giant
WASP-8 c,0,-1.193417253,3003.37,12.5,107.22171,4323,Gas Giant
WASP-23 b,0,-1.339909922,280.95,10.783,1057.1858,2.9444256,Gas Giant
TOI-421 c,0,-0.617225253,16.42,5.09,632.23389,16.06819,Neptunian
NGTS-1 b,0,-1.402653333,258.07796,14.908,726.49723,2.647298,Gas Giant
K2-136 c,0,0.377207038,18.1,3,473.07559,17.30713,Neptunian
HD 191939 e,0,0.042637284,112.2,13,358.53075,101.12,Gas Giant
TOI-2076 c,0,-0.219468989,12,3.497,604.00374,21.01538,Neptunian
WASP-132 b,0,-1.182058814,130.3103,10.05,697.71672,7.133514,Gas Giant
KELT-24 b,0,-1.494733658,1646.3594,14.258,1335.3751,5.5514926,Gas Giant
HAT-P-14 b,0,-1.545550649,1093.3352,15.917,1510.5917,4.62767,Gas Giant
TOI-2076 d,0,0.126440718,10.5,3.232,509.01479,35.12537,Neptunian
HATS-39 b,0,-1.584587385,200.2329,17.598,1495.1181,4.5776348,Gas Giant
HATS-58 A b,0,-1.429853174,327.3649,12.274,1570.1411,4.2180896,Gas Giant
WASP-142 b,0,-1.578363277,266.9772,17.15,1837.3207,2.052868,Gas Giant
WASP-94 A b,0,-1.585799589,158.915,17.71,1456.8618,3.95019,Gas Giant
WASP-126 b,0,-1.338467326,90.3,10.435,1314.7386,3.28883,Gas Giant
KOI-94 d,0,-1.313659596,106,11.27,817.83469,22.342989,Gas Giant
HD 332231 b,0,-1.223585248,77.55052,9.718,801.20691,18.71204,Gas Giant
HAT-P-59 b,0,-1.429061567,489.45575,12.588,1167.6923,4.1419771,Gas Giant
TOI-904 c,2,3.118660221,5.34,2.167,216.7816,83.9997,Super-Earth
WASP-53 b,0,-1.385192451,677.61356,12.038,963.56361,3.3098443,Gas Giant
WASP-141 b,0,-1.474311746,854.9627,13.563,1410.1434,3.310651,Gas Giant
HD 39091 b,0,-0.303373786,3917.2351,12.4,149.07723,2088.7585,Gas Giant
TOI-1296 b,0,-1.482650278,94.71287,13.798,1430.0109,3.9443715,Gas Giant
TrES-2 b,0,-1.524791001,473.5667,15.244,1379.405,2.47063,Gas Giant
KOI-94 b,0,0.101672042,10.5,1.71,1477.5143,3.743208,Neptunian
Qatar-10 b,0,-1.58122293,233.92288,17.295,1790.2624,1.645321,Gas Giant
Kepler-76 b,0,-1.532187242,638.8383,15.244,1995.1448,1.5449298,Gas Giant
HAT-P-3 b,0,-1.326602213,206.5895,10.536,1053.098,2.8997,Gas Giant
WASP-160 B b,0,-1.397885716,88.35674,12.218,997.77012,3.7684952,Gas Giant
GJ 1214 b,0,0.165465795,8.17,2.742,543.43641,1.5804043,Unknown
HAT-P-11 c,0,-1.312065422,731.009,13.3,88.346248,3407,Gas Giant
WASP-8 b,0,-1.393244621,807.2882,12.666,865.1778,8.15872,Gas Giant
HD 97658 b,0,0.121858273,8.3,2.12,690.85017,9.4897116,Super-Earth
TrES-3 b,0,-1.520000658,607.03,14.975,1499.4842,1.3061858,Gas Giant
WASP-164 b,0,-1.442341212,676.9779,12.644,1460.0886,1.7771255,Gas Giant
HD 86226 b,0,-0.450570261,143.0235,14.3,160.66594,1628,Gas Giant
HD 5278 b,0,-0.111395614,7.8,2.45,862.92582,14.339156,Super-Earth
K2-237 b,0,-1.554714833,433.20012,16.197,1671.8559,2.1805354,Gas Giant
HAT-P-25 b,0,-1.427426452,180.84527,12.722,1081.166,3.6528151,Gas Giant
WASP-93 b,0,-1.593904203,467.2101,17.901,1771.769,2.7325321,Gas Giant
TOI-892 b,0,-1.398006334,301.9385,11.994,1075.3006,10.62656,Gas Giant
HAT-P-5 b,0,-1.474199548,311.4734,13.563,1405.6995,2.78849,Gas Giant
HD 108236 c,0,0.00963206,4.94,2.071,938.36646,6.203449,Super-Earth
WASP-156 b,0,-0.891036851,40.68224,5.717,931.74974,3.836169,Neptunian
WASP-98 b,0,-1.430093609,293.03926,12.823,1068.4572,2.9626404,Gas Giant
WASP-183 b,0,-1.537515677,159.55066,16.477,1049.4589,4.1117771,Gas Giant
WASP-192 b,0,-1.483408517,731.009,13.787,1483.4388,2.8786765,Gas Giant
HD 108236 f,0,0.407308243,4.72,2.017,557.21093,29.54115,Super-Earth
WASP-138 b,0,-1.425759561,387.7526,12.218,1472.2658,3.634433,Gas Giant
HAT-P-66 b,0,-1.592010143,248.86089,17.822,1736.7478,2.972086,Gas Giant
XO-1 b,0,-1.431019691,263.7989,12.778,1097.4628,3.94153,Gas Giant
HD 191939 c,0,0.005674801,8,3.195,546.45106,28.579743,Unknown
WASP-47 d,0,-0.466297313,14.2,3.567,889.99493,9.03055,Neptunian
TOI-216.02,0,-0.815525423,18.75188,8,548.40423,17.16073,Neptunian
HIP 65 A b,0,-1.664841714,1021.1878,22.754,1291.653,0.9809734,Gas Giant
WASP-105 b,0,-1.317242241,572.094,10.761,917.42185,7.87288,Gas Giant
K2-19 c,0,-0.486348394,10.8,4.1,683.95695,11.8993,Neptunian
HAT-P-29 b,0,-1.447864908,279.6904,13.115,1152.9659,5.72319,Gas Giant
EPIC 211945201 b,0,-0.863117701,27,5.76,817.18391,19.49221,Neptunian
WASP-167 b,0,-1.592064708,2542.64,17.71,2234.6179,2.0219596,Gas Giant
TOI-561 b,0,0.196667775,2,1.425,2114.4469,0.4465688,Terrestrial
HAT-P-45 b,0,-1.547156373,283.492,15.984,1508.222,3.128992,Gas Giant
WASP-97 b,0,-1.447433119,432.2488,12.778,1460.1431,2.07276,Gas Giant
KELT-19 A b,0,-1.654889053,1293.5681,21.409,1772.2704,4.6117093,Gas Giant
LTT 3780 b,0,0.32070021,2.47,1.32,832.2424,0.76837883,Terrestrial
HATS-25 b,0,-1.482875792,194.82979,14.123,1163.5923,4.2986432,Gas Giant
HAT-P-50 b,0,-1.506912731,429.0705,14.437,1692.1559,3.1220109,Gas Giant
K2-233 c,0,0.392537495,12.81,1.281,728.31181,7.06005,Neptunian
HATS-68 b,0,-1.485889299,410.0007,13.809,1590.4416,3.5862202,Gas Giant
Qatar-7 b,0,-1.616968627,597.5204,19.055,1877.4932,2.032046,Gas Giant
HAT-P-17 c,0,-1.32231076,1080.6,13.1,90.250164,5584,Gas Giant
HD 110113 b,0,-0.024635654,4.55,2.05,1336.0736,2.541,Super-Earth
55 Cnc f,0,1.552448738,44.812,7.59,258.9434,259.88,Neptunian
HATS-22 b,0,-1.270279709,870.8542,10.682,783.18073,4.7228124,Gas Giant
TOI-837 b,0,-1.182858763,381.396,8.631,902.81614,8.3248762,Gas Giant
NGTS-6 b,0,-1.514606341,425.57437,14.863,1399.0498,0.882059,Gas Giant
LP 791-18 c,0,2.403054454,7.1,2.438,324.25039,4.9899093,Super-Earth
WASP-14 b,0,-1.536242795,2809.6172,15.468,1692.4994,2.24375,Gas Giant
WASP-99 b,0,-1.387052358,772.3269,11.433,1300.4394,5.75251,Gas Giant
Kepler-396 c,0,0.503243269,17.9,5.3,383.35736,88.505,Neptunian
WASP-88 b,0,-1.556819509,133.4886,16.365,1523.914,4.954,Gas Giant
HATS-2 b,0,-1.458551535,427.463,13.092,1439.58,1.354133,Gas Giant
KELT-23 A b,0,-1.514405464,298.12454,14.83,1429.5889,2.255251,Gas Giant
WASP-180 A b,0,-1.485029441,286.047,13.899,1393.8919,3.409264,Gas Giant
TOI-1201 b,0,0.064715074,6.28,2.415,645.5186,2.4919863,Super-Earth
HAT-P-30 b,0,-1.550728431,263.7989,16.141,1489.187,2.8106,Gas Giant
WASP-147 b,0,-1.431436536,87.40325,12.498,1282.5182,4.60273,Gas Giant
WASP-89 b,0,-1.37654573,1875.197,11.657,1009.5191,3.3564227,Gas Giant
TOI-157 b,0,-1.502674507,375.0394,14.415,1454.6993,2.0845435,Gas Giant
TOI-421 b,0,-0.210239709,7.17,2.68,921.04187,5.19672,Unknown
TOI-125 b,0,-0.232173727,9.5,2.726,947.11234,4.65382,Unknown
WASP-106 b,0,-1.372759234,514.8846,11.433,1072.5438,9.28971,Gas Giant
L 98-59 c,0,1.108400979,2.42,1.34,466.19765,3.6906745,Terrestrial
WASP-55 b,0,-1.507335534,193.8763,14.908,1184.4933,4.46563,Gas Giant
pi Men c,0,-0.008131643,3.63,2.06,1062.9528,6.26791,Super-Earth
HATS-53 b,0,-1.512301945,189.10885,15.02,1190.7483,3.8537768,Gas Giant
TOI-1259 A b,0,-1.346736854,140.16233,11.456,899.08863,3.477978,Gas Giant
WASP-95 b,0,-1.484196637,457.6752,13.787,1527.0061,2.18467,Gas Giant
HATS-43 b,0,-1.421813952,82.95363,13.227,909.37196,4.3888497,Gas Giant
WASP-37 b,0,-1.446092429,572.07,13.002,1191.7421,3.577469,Gas Giant
WASP-80 b,0,-1.281118364,170.99254,11.198,754.77999,3.0678523,Gas Giant
CoRoT-19 b,0,-1.505479681,352.78,14.46,1530.6463,3.89713,Gas Giant
Qatar-4 b,0,-1.439429231,1938.763,12.722,1267.0337,1.8053564,Gas Giant
WASP-161 b,0,-1.447922557,791.3967,12.812,1425.0896,5.4060425,Gas Giant
WASP-49 b,0,-1.42868195,117.5971,12.442,1269.2001,2.78174,Gas Giant
WASP-63 b,0,-1.539643041,117.5971,15.805,1376.8726,4.37808,Gas Giant
HAT-P-13 b,0,-1.49847338,270.462,14.258,1484.9409,2.91625,Gas Giant
GJ 1132 b,0,0.811631562,1.66,1.13,528.0475,1.628931,Terrestrial
WASP-69 b,0,-1.392339495,92.1707,12.442,914.72472,3.86814,Gas Giant
HAT-P-35 b,0,-1.517131218,335.62848,14.93,1423.349,3.646706,Gas Giant
MASCARA-4 b,0,-1.579910886,985.273,17.15,2196.8519,2.82406,Gas Giant
HAT-P-68 b,0,-1.38005478,230.10892,12.016,939.79506,2.2984055,Gas Giant
WASP-4 b,0,-1.515695566,376.94638,14.807,1528.6058,1.3382315,Gas Giant
WASP-29 b,0,-1.177332364,73.1009,8.631,880.77945,3.92273,Gas Giant
HAT-P-40 b,0,-1.57384182,152.5584,17.038,1616.7688,4.45724,Gas Giant
L 98-59 d,0,2.09757888,2.31,1.58,368.99837,7.450729,Super-Earth
K2-19 d,0,0.296778708,10,1.11,1152.3131,2.5081,Terrestrial
WASP-45 b,0,-1.330362603,306.38812,10.604,1054.4778,3.126089,Gas Giant
WASP-173 A b,0,-1.475114258,1172.7927,13.451,1696.7735,1.3866532,Gas Giant
WASP-71 b,0,-1.46849809,441.7837,13.227,1843.6766,2.90367,Gas Giant
KELT-21 b,0,-1.59206296,1242.7153,17.777,1876.4981,3.6127647,Gas Giant
HAT-P-24 b,0,-1.508199182,238.3725,14.572,1493.4592,3.35524,Gas Giant
WASP-66 b,0,-1.5407214,746.9005,15.693,1573.0893,4.08605,Gas Giant
KOI-94 e,0,-0.785896002,35,6.56,608.09994,54.32031,Neptunian
Qatar-8 b,0,-1.499129472,117.91493,14.404,1334.1681,3.71495,Gas Giant
HD 219134 d,0,1.962029399,16.17,1.61,374.935,46.859,Neptunian
HATS-40 b,0,-1.591019003,505.3497,17.71,1904.5015,3.2642736,Gas Giant
TOI-270 d,0,2.027273064,4.78,2.133,354.08235,11.379573,Super-Earth
WASP-123 b,0,-1.510747547,285.72917,14.773,1354.3847,2.9776412,Gas Giant
TOI-824 b,0,-0.323302067,18.467,2.926,1147.2828,1.392978,Neptunian
HATS-64 b,0,-1.6106716,305.1168,18.82,1635.7198,4.908897,Gas Giant
EPIC 246851721 b,0,-1.401862922,953.49,11.781,1282.5095,6.180235,Gas Giant
WASP-32 b,0,-1.358669682,835.8929,10.761,1434.1732,2.71866,Gas Giant
HAT-P-55 b,0,-1.509119997,189.42573,14.841,1249.8632,3.5852313,Gas Giant
TOI-451 b,0,0.028772819,4.31,1.91,1358.1774,1.858703,Super-Earth
WASP-21 b,0,-1.412587709,95.345,11.99,1330.7548,4.322482,Gas Giant
HD 63433 c,0,0.054707359,6.9,2.521,621.2324,20.543791,Unknown
HATS-35 b,0,-1.561573875,388.38826,16.41,1850.2695,1.8209993,Gas Giant
TOI-1266 b,0,1.514891206,13.5,2.37,377.95532,10.894843,Neptunian
HAT-P-62 b,0,-1.415769548,241.86742,12.027,1381.2943,2.6453235,Gas Giant
HD 219134 h,0,-1.196088644,108.0622,12.7,107.73869,2247,Gas Giant
K2-31 b,0,-1.414022398,563.83042,11.882,1612.0866,1.25785,Gas Giant
WASP-42 b,0,-1.387783443,167.49641,12.576,873.50186,4.9816819,Gas Giant
WASP-20 b,0,-1.550224266,98.841,16.388,1263.3512,4.8996284,Gas Giant
TOI-530 b,0,-0.845742438,127.13136,9.303,525.53064,6.387597,Gas Giant
HATS-57 b,0,-1.442126681,1000.211,12.767,1291.1572,2.350621,Gas Giant
G 9-40 b,0,1.217897315,11.7,2.025,417.4643,5.746007,Neptunian
HD 191939 b,0,-0.393887349,10,3.41,806.66942,8.8803256,Unknown
WASP-67 b,0,-1.415620362,136.6669,12.89,945.0978,4.61442,Gas Giant
WASP-127 b,0,-1.508556856,52.3466,14.695,1357.3037,4.178062,Gas Giant
WASP-175 b,0,-1.479756705,314.6517,13.54,1911.9449,3.0652907,Gas Giant
WASP-35 b,0,-1.504118486,225.6593,14.572,1332.0137,3.16158,Gas Giant
WASP-62 b,0,-1.509616061,165.2716,14.796,1301.0131,4.41195,Gas Giant
WASP-131 b,0,-1.477892425,85.8141,13.675,1402.831,5.322023,Gas Giant
TOI-431 c,0,0.278710606,2.83,1.49,806.95262,4.8494,Terrestrial
HATS-45 b,0,-1.501288876,222.481,14.415,1380.8499,4.1876244,Gas Giant
WASP-121 b,0,-1.629038539,367.72747,19.649,2290.59,1.274925,Gas Giant
XO-2 S c,0,0.172203575,435.409,13.6,343.63,120.8,Gas Giant
HATS-7 b,0,-0.980047451,38.1396,6.311,988.84609,3.185315,Neptunian
TOI-1518 b,0,-1.652055257,731.00534,21.017,2996.5546,1.902603,Gas Giant
HATS-72 b,0,-1.025608902,39.85588,8.097,675.89432,7.3279474,Neptunian
WASP-46 b,0,-1.46325699,607.0553,13.159,1563.8429,1.4303676,Gas Giant
WASP-140 b,0,-1.540926642,775.5052,16.141,1196.5709,2.2359835,Gas Giant
HAT-P-26 b,0,-1.055924871,22.2481,7.062,945.77882,4.23452,Neptunian
HAT-P-41 b,0,-1.676533477,378.2177,22.978,1772.1353,2.69405,Gas Giant
HD 191939 f,0,-0.994209945,660,13.4,127.87178,2200,Gas Giant
KELT-4 A b,0,-1.615097652,286.68266,19.044,1668.2406,2.9895932,Gas Giant
WASP-84 c,0,0.01261414,15.2,1.95,1375.5796,1.4468849,Neptunian
WASP-31 b,0,-1.577862398,151.916,17.363,1432.0341,3.4059096,Gas Giant
TOI-776 c,0,1.692948211,5.3,2.02,378.92762,15.6653,Super-Earth
L 98-59 b,0,0.704895552,0.4,0.85,560.38918,2.2531136,Terrestrial
Kepler-410 A b,0,-0.26567054,8.44,2.838,932.85454,17.833648,Unknown
K2-233 b,0,0.25894435,11.26,1.343,1036.0895,2.4675,Neptunian
WASP-126 c,0,-1.249542951,64.2,9.38,979.26258,7.63,Gas Giant
WASP-85 A b,0,-1.479442038,402.05495,13.899,1238.2759,2.6556777,Gas Giant
HD 106315 b,0,-0.146775365,12.6,2.44,1034.0958,9.55237,Neptunian
TOI-1130 c,0,-1.183084945,325.69,13.32,580.96283,8.350231,Gas Giant
KELT-2 A b,0,-1.526182116,540.311,15.132,1615.4252,4.11379,Gas Giant
WASP-19 b,0,-1.548237901,366.77398,15.861,1933.4831,0.78883852,Gas Giant
K2-113 b,0,-1.396432782,410.0007,12.14,1010.6068,5.817685,Gas Giant
HATS-11 b,0,-1.592215416,263.7989,18.03,1416.1403,3.619188,Gas Giant
WASP-158 b,0,-1.416633196,886.7457,11.994,1479.4641,3.656333,Gas Giant
KELT-12 b,0,-1.630747187,301.9385,19.952,1643.6267,5.031623,Gas Giant
TOI-150.01,0,-1.487061727,797.7533,14.067,1272.7926,5.857487,Gas Giant
HAT-P-17 b,0,-1.297702354,184.3414,11.769,720.56938,10.33852,Gas Giant
TOI-1789 b,0,-1.554159241,222.47988,16.141,1761.1681,3.208664,Gas Giant
HD 63433 b,0,0.005763813,5.11,2.112,883.91924,7.1079379,Super-Earth
TOI-561 d,0,0.122943281,13.2,2.82,547.16153,25.7124,Neptunian
WASP-58 b,0,-1.537031233,308.2951,16.029,1178.234,5.01718,Gas Giant
HATS-29 b,0,-1.475341543,207.54299,14.022,1105.2881,4.6058749,Gas Giant
HATS-67 b,0,-1.614512545,460.8535,18.887,2003.996,1.6091788,Gas Giant
WASP-53 c,0,-1.075956767,5196.5205,12.173984,95.502354,2840,Gas Giant
HAT-P-56 b,0,-1.572435948,734.1873,16.926,1693.7284,2.79083,Gas Giant
HAT-P-31 b,0,-1.422144068,721.4741,12.218,1318.1334,5.00542,Gas Giant
WASP-68 b,0,-1.511807163,343.2564,14.796,1367.5519,5.0843,Gas Giant
HD 219134 b,0,0.19336646,4.74,1.602,928.23476,3.092926,Super-Earth
HAT-P-27 b,0,-1.374371723,197.05,11.43,1090.9873,3.039577,Gas Giant
K2-140 b,0,-1.440419618,295.58042,13.563,949.71928,6.569188,Gas Giant
XO-5 b,0,-1.429917502,378.2,12.78,1084.4164,4.1877558,Gas Giant
WASP-135 b,0,-1.504834968,603.877,14.572,1354.5548,1.4013794,Gas Giant
TOI-905 b,0,-1.44317206,211.99261,13.126,1089.8374,3.739494,Gas Giant
K2-198 d,0,-0.062178428,6.52,2.438,768.29407,7.4500177,Super-Earth
55 Cnc b,0,-1.330987875,263.9785,13.9,675.3722,14.6516,Gas Giant
WASP-91 b,0,-1.376813817,425.8922,11.545,1062.3041,2.798581,Gas Giant
Kepler-18 c,0,-0.85375661,17.3,5.49,912.51663,7.64159,Neptunian
KELT-18 b,0,-1.588484828,375.0394,17.598,1906.9707,2.8717518,Gas Giant
KELT-7 b,0,-1.595291573,441.7837,17.934,1875.5747,2.73477,Gas Giant
L 98-59 e,0,3.375986684,3.06,1.56,309.66596,12.796,Super-Earth
WASP-168 b,0,-1.558367367,133.4886,16.814,1222.5483,4.153658,Gas Giant
TOI-431 d,0,-0.127873371,9.9,3.29,587.8096,12.46103,Unknown
HATS-1 b,0,-1.501120933,589.55,14.594,1236.7043,3.446459,Gas Giant
WASP-28 b,0,-1.475075313,282.54945,13.664,1320.9567,3.408835,Gas Giant
WASP-177 b,0,-1.560515027,161.45764,17.71,1010.2217,3.071722,Gas Giant
TOI-270 c,0,0.803570631,6.15,2.355,446.91265,5.6605731,Super-Earth
WASP-3 b,0,-1.549137846,772.3269,15.917,1842.6567,1.84683,Gas Giant
K2-19 b,0,-1.003919708,32.4,7,789.56223,7.9222,Neptunian
GJ 1132 c,0,3.691717359,2.64,1.43,298.90134,8.929,Terrestrial
HATS-60 b,0,-1.451509225,210.40346,12.924,1392.1355,3.560829,Gas Giant
HAT-P-22 b,0,-1.440803879,785.0401,12.89,1172.4347,3.21222,Gas Giant
K2-198 c,0,0.240065736,2.61,1.423,1001.8833,3.3596055,Terrestrial
WASP-113 b,0,-1.540288073,150.96925,15.793,1413.2743,4.5421688,Gas Giant
KELT-6 b,0,-1.498859055,165.2716,14.572,1197.1148,7.8457,Gas Giant
WASP-79 b,0,-1.576606635,270.15415,17.15,1638.7625,3.662392,Gas Giant
KELT-1 b,0,-1.440765315,8654.15,12.442,2216.1569,1.217514,Gas Giant
HAT-P-39 b,0,-1.586082689,190.372,17.609,1601.3668,3.54387,Gas Giant
